mobile_name,rating,price
"Vivo Y20 (Dawn White, 64 GB)",4.4,"₹12,990"
"Vivo Y20 (Obsidian Black, 64 GB)",4.4,"₹12,990"
"Realme C3 (Frozen Blue, 32 GB)",4.4,"₹8,999"
"Realme Narzo 20 Pro (White Knight, 64 GB)",4.3,"₹14,999"
"Realme Narzo 20 Pro (White Knight, 128 GB)",4.3,"₹16,999"
MarQ by Flipkart 110 Magic,4,₹969
"Samsung Galaxy M01 (Blue, 32 GB)",4.2,"₹8,035"
"Vivo Y20i (Nebula Blue, 64 GB)",4.4,"₹11,490"
"Itel Vision1 (Gradation Green, 32 GB)",4.1,"₹6,699"
"OPPO A12 (Deep Blue, 64 GB)",4.4,"₹11,990"
"OPPO A12 (Flowing Silver, 32 GB)",4.3,"₹8,990"
"Vivo Y30 (Dazzle Blue, 128 GB)",4.3,"₹13,990"
"Vivo Y30 (Emerald Black, 128 GB)",4.3,"₹13,990"
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹43,999"
"Realme C3 (Volcano Grey, 32 GB)",4.4,"₹8,999"
"Vivo Y31 (Ocean Blue, 128 GB)",4.6,"₹16,490"
"Vivo Y20i (Dawn White, 64 GB)",4.4,"₹11,490"
"Vivo Y51A (Crystal Symphony, 128 GB)",4.4,"₹17,990"
"Vivo Y51A (Titanium Sapphire, 128 GB)",4.4,"₹17,990"
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",4.3,"₹17,989"
"Redmi Note 9 Pro (Champagne Gold, 64 GB)",4.4,"₹13,574"
"Tecno Camon 15 (Dark Jade, 64 GB)",4.2,"₹10,499"
Micromax X744,3.9,"₹1,235"
"Redmi 8A (Ocean Blue, 32 GB)",4.3,"₹8,399"
"Itel VISION1 (GRADATION GREEN, 32 GB)",4.1,"₹6,799"
"Realme 7 Pro (Mirror Silver, 128 GB)",4.4,"₹19,999"
"Redmi 9i (Midnight Black, 128 GB)",4.3,"₹9,299"
"Moto G 5G (Volcanic Grey, 128 GB)",4.3,"₹20,999"
"Realme 6 Pro (Lightning Orange, 64 GB)",4.4,"₹17,999"
Lava A1,4.2,"₹1,099"
"Redmi 9i (Nature Green, 128 GB)",4.3,"₹9,299"
"Redmi 9 (Sky Blue, 128 GB)",4.2,"₹10,284"
"Vivo S1 Pro (Dreamy White, 128 GB)",4.4,"₹18,990"
"OPPO A53 (Fairy White, 64 GB)",4.4,"₹12,990"
"Tecno POVA (Speed Purple, 64 GB)",4.4,"₹10,499"
"Moto G 5G (Volcanic Grey, 128 GB)",4.3,"₹20,999"
Gfive A2,3.8,₹675
Nokia 150 DS 2020,4.1,"₹2,393"
Micromax X807,4,"₹1,510"
"Realme 6 Pro (Lightning Orange, 64 GB)",4.4,"₹17,999"
"Redmi 9i (Nature Green, 128 GB)",4.3,"₹9,299"
Samsung Guru 1200,4.3,"₹1,395"
"Redmi 9 (Sky Blue, 128 GB)",4.2,"₹10,284"
"Redmi 9 (Sky Blue, 64 GB)",4.2,"₹9,428"
Samsung Guru 1200,4.3,"₹1,399"
"Vivo S1 Pro (Dreamy White, 128 GB)",4.4,"₹18,990"
"OPPO A53 (Fairy White, 64 GB)",4.4,"₹12,990"
"Tecno POVA (Speed Purple, 64 GB)",4.4,"₹10,499"
"Apple iPhone 11 (Black, 64 GB)",4.7,"₹51,999"
"Redmi 9 Prime (Sunrise Flare, 128 GB)",4.4,"₹10,999"
"Vivo Y30 (Dazzle Blue, 128 GB)",4.3,"₹14,990"
Micromax X746,4,"₹1,348"
"Vivo V20 2021 (Sunset Melody, 128 GB)",4.4,"₹24,990"
"Redmi Note 9 Pro (Aurora Blue, 64 GB)",4.4,"₹13,799"
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹43,999"
Karbonn K19 Rock,3.9,₹859
"Samsung Galaxy M01 (Black, 32 GB)",4.2,"₹7,827"
Kechaoda K112,4,"₹1,315"
Nokia 110 DS 2020,4,"₹1,638"
Samsung Guru Music 2,4.3,"₹1,898"
Karbonn KX3,4,₹791
Nokia 150 Ta-1235 DS (Red),4.1,"₹2,284"
I Kall K3310,3.6,₹649
I Kall K3310,3.6,₹649
"Motorola One Fusion+ (Twilight Blue, 128 GB)",4.4,"₹17,499"
"Motorola G9 Power (Metallic Sage, 64 GB)",4.2,"₹11,999"
"OPPO Reno2 F (Lake Green, 128 GB)",4.4,"₹21,990"
"Infinix Note 7 (Bolivia Blue, 64 GB)",4.3,"₹10,999"
"Realme 7 Pro (Sun Kissed Leather, 128 GB)",4.4,"₹21,999"
"POCO X3 (Shadow Gray, 128 GB)",4.3,"₹17,999"
"Realme 6i (Eclipse Black, 64 GB)",4.4,"₹13,999"
"OPPO A12 (Deep Blue, 32 GB)",4.3,"₹8,990"
"Vivo Y51 (Titanium Sapphire, 128 GB)",4.4,"₹17,990"
"Vivo Y20 (Purist Blue, 64 GB)",4.4,"₹13,990"
"Realme C3 (Blazing Red, 64 GB)",4.4,"₹9,999"
"Realme C3 (Blazing Red, 32 GB)",4.4,"₹8,999"
"Tecno Spark 6 Go (Ice Jadeite, 64 GB)",4.3,"₹8,699"
"Tecno POVA (Magic Blue, 128 GB)",4.3,"₹12,499"
"Tecno Spark Go 2020 (Mystery White, 32 GB)",4.4,"₹6,999"
"Tecno Spark Go 2020 (Aqua Blue, 32 GB)",4.4,"₹6,999"
"Tecno Spark Go 2020 (Ice jadeite, 32 GB)",4.4,"₹6,999"
"Realme C3 (Frozen Blue, 64 GB)",4.4,"₹9,999"
Micromax X817,4,"₹1,499"
Nokia 150 Ta-1235 DS (Red),4.1,"₹2,284"
"Redmi 9 (Sporty Orange, 64 GB)",4.2,"₹9,464"
"Vivo Y11 (Agate Red, 32 GB)",4.3,"₹9,490"
"Vivo Y11 (Mineral Blue, 32 GB)",4.3,"₹9,490"
"OPPO A53 (Fairy White, 128 GB)",4.3,"₹15,490"
"OPPO A53 (Electric Black, 64 GB)",4.4,"₹12,990"
BlackZone ECO X,4,"₹1,230"
BlackZone ECO X,4,"₹1,230"
"Vivo Y91i (Fusion Black, 32 GB)",4.3,"₹8,490"
Micromax X746,4,"₹1,325"
"Realme 6 Pro (Lightning Blue, 128 GB)",4.4,"₹19,999"
Nokia 216/216 DS,4.2,"₹2,799"
"OPPO F15 (Blazing Blue, 128 GB)",4.4,"₹18,990"
"Realme 7 Pro (Mirror Silver, 128 GB)",4.4,"₹21,999"
"Realme X3 (Arctic White, 128 GB)",4.4,"₹24,999"
Nokia 150 DS 2020,4.1,"₹2,299"
"Vivo V20 SE (Aquamarine Green, 128 GB)",4.3,"₹20,990"
Nokia 105,4,"₹1,175"
"OPPO A53 (Fancy Blue, 64 GB)",4.4,"₹12,990"
Karbonn K9,4,"₹1,249"
Lava Gem,4.2,"₹1,529"
"Apple iPhone 11 (Purple, 64 GB)",4.7,"₹51,999"
"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)",4.5,"₹34,999"
"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹43,999"
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",4.4,"₹14,419"
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",4.3,"₹16,980"
"Redmi 8A Dual (Sky White, 32 GB)",4.3,"₹7,499"
"Redmi Note 9 Pro (Glacier White, 128 GB)",4.4,"₹14,364"
"Redmi Note 9 Pro Max (Glacier White, 128 GB)",4.4,"₹15,540"
Karbonn KX3,3.9,₹849
Karbonn K9,4,"₹1,249"
Lava A1,4.2,"₹1,049"
"Vivo Y31 (Racing Black, 128 GB)",4.6,"₹16,490"
"Redmi 9 Power (Fiery Red, 64 GB)",4.2,"₹11,128"
Micromax X378,4,₹875
Micromax X378,4,₹834
Kechaoda K112,4,"₹1,328"
"LG G8X (Black, 128 GB)",4.4,"₹27,990"
"Samsung GALAXY M51 (Celestial Black, 128 GB)",4.3,"₹23,274"
"Lava Z66 (Midnight Blue, 32 GB)",4.1,"₹6,877"
"Micromax IN 1b (Purple, 32 GB)",4.2,"₹6,999"
"Micromax IN 1b (Blue, 32 GB)",4.2,"₹6,999"
"OPPO F15 (Blazing Blue, 128 GB)",4.4,"₹15,990"
"Redmi 9 (Carbon Black, 64 GB)",4.2,"₹9,518"
"Redmi 9 (Sky Blue, 64 GB)",4.2,"₹9,429"
"Apple iPhone 12 (Blue, 64 GB)",4.6,"₹79,900"
"OPPO Reno5 Pro 5G (Starry Black, 128 GB)",4.4,"₹35,990"
"OPPO A53 (Fancy Blue, 128 GB)",4.3,"₹15,490"
"OPPO A53 (Electric Black, 128 GB)",4.3,"₹15,490"
BlackZone ECO X,4,"₹1,230"
Micromax X744,3.9,"₹1,179"
Blackzone B312,3.7,₹669
Gfive U873,3.7,₹669
Lava A5,4.1,"₹1,206"
Lava A5,4.1,"₹1,206"
Snexian Rock,4,"₹1,249"
Snexian Rock,4,"₹1,160"
Gfive U873,3.7,₹659
"Redmi 9A (SeaBlue, 32 GB)",4.3,"₹7,727"
"Redmi 9A (Midnight Black, 32 GB)",4.3,"₹8,240"
"Redmi 9A (Nature Green, 32 GB)",4.3,"₹7,644"
"Samsung Galaxy M21 (Midnight Blue, 64 GB)",4.3,"₹13,900"
Micromax X817,4,"₹1,503"
"Tecno POVA (Dazzle Black, 128 GB)",4.3,"₹12,499"
Lava GEM,4.2,"₹1,599"
"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹48,999"
"OPPO A33 (Mint Cream, 32 GB)",4.2,"₹10,990"
"Tecno Camon 16 (Cloud White, 64 GB)",4.2,"₹11,499"
"Samsung M01 core (Black, 16 GB)",4,"₹5,785"
"OPPO Reno5 Pro 5G (Astral Blue, 128 GB)",4.4,"₹35,990"
"Redmi 8A Dual (Sky White, 32 GB)",4.2,"₹8,299"
"Samsung Galaxy A21s (Blue, 64 GB)",4.2,"₹14,999"
"Samsung M01 core (Blue, 32 GB)",3.9,"₹6,128"
"Tecno Camon 16 (Cloud White, 64 GB)",4.2,"₹11,499"
"Samsung Galaxy M31 (Space Black, 128 GB)",4.3,"₹19,329"
"Samsung Galaxy A21s (Blue, 64 GB)",4.2,"₹14,999"
"Moto G 5G (Frosted Silver, 128 GB)",4.3,"₹20,999"
BlackZone EVEREST,3.9,₹659
BlackZone EVEREST,3.9,₹659
Samsung Guru GT,4.1,"₹1,399"
"Redmi 9 Power (Electric Green, 64 GB)",4.2,"₹11,394"
"Itel Vision1 (Gradation Blue, 32 GB)",4.1,"₹6,699"
Grabo G312,3.5,₹659
"OPPO F15 (Unicorn White, 128 GB)",4.4,"₹15,990"
"OPPO F15 (Lightening Black, 128 GB)",4.4,"₹15,990"
Samsung Metro 313 Dual Sim,4.3,"₹2,340"
Micromax X749,4.1,"₹1,209"
"Apple iPhone 11 (Black, 128 GB)",4.7,"₹56,999"
Samsung Guru FM Plus SM-B110E/D,4.3,"₹1,579"
"Vivo V17Pro (Glacier Ice White, 128 GB)",4.5,"₹29,499"
"Redmi 9 Prime (Space Blue, 128 GB)",4.4,"₹10,999"
I Kall K18 New,3.7,₹649
"Vivo Y91i (Ocean Blue, 32 GB)",4.3,"₹7,990"
"Redmi 9A (Midnight Black, 32 GB)",4.3,"₹7,572"
"Redmi Note 9 (Aqua Green, 64 GB)",4.3,"₹12,194"
"Redmi Note 9 (Pebble Grey, 64 GB)",4.3,"₹12,537"
"Redmi Note 9 (Scarlet Red, 128 GB)",4.3,"₹14,999"
Nokia 5310,4.2,"₹3,376"
Kechaoda K-55 Plus,4,₹974
Micromax X512,3.9,₹999
"Redmi 8A Dual (Midnight Grey, 64 GB)",4.2,"₹8,939"
"Redmi 8A Dual (Sky White, 64 GB)",4.2,"₹8,513"
Gfive U106,3.7,₹649
"OPPO A1K (Red, 32 GB)",4.3,"₹7,990"
I Kall K130 New,3.4,₹599
"Vivo V20 SE (Gravity Black, 128 GB)",4.3,"₹20,990"
Itel IT2163,4.1,₹799
Itel IT2163,4.1,₹799
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",4.4,"₹14,685"
Kechaoda A26,4.1,₹898
"Redmi 9 Power (Mighty Black, 128 GB)",4.2,"₹12,591"
"Tecno Camon 15 (SHOAL GOLD, 64 GB)",4.2,"₹10,499"
Grabo G310 Vibration,3.6,₹659
"Vivo Y91i (Fusion Black, 32 GB)",4.3,"₹7,990"
"Redmi Note 9 (Arctic White, 64 GB)",4.3,"₹12,654"
Nokia 110 DS 2020,4,"₹1,650"
"Lava Z66 (Midnight Blue, 32 GB)",4.1,"₹7,799"
"OPPO A5s (Black, 64 GB)",4.4,"₹10,990"
"OPPO A5s (Blue, 32 GB)",4.3,"₹8,990"
"OPPO A5s (Blue, 64 GB)",4.4,"₹10,990"
"OPPO A5s (Blue, 32 GB)",4.3,"₹8,990"
"Samsung Galaxy M21 (Raven Black, 64 GB)",4.3,"₹14,003"
Gfive U707,3.6,₹689
I Kall K2180,3.7,₹649
Samsung Guru Music 2,4.3,"₹1,939"
Micromax X512,3.9,₹921
"OPPO F17 Pro (Metallic White, 128 GB)",4.4,"₹21,490"
"OPPO F17 Pro (Matte Black, 128 GB)",4.4,"₹21,490"
Samsung Guru FM Plus SM-B110E/D,4.3,"₹1,587"
Micromax X749,4.1,"₹1,221"
"Apple iPhone 11 (Red, 128 GB)",4.7,"₹56,999"
"Lava Z66 (Berry Red, 32 GB)",4.1,"₹6,877"
I Kall K14 New,3.4,₹609
"OPPO A1K (Black, 32 GB)",4.3,"₹7,990"
Lava Hero 600+,4.2,₹783
Kechaoda K33,4.1,₹999
"Vivo Y19 (Magnetic Black, 128 GB)",4.4,"₹12,990"
Itel Ace,4.1,₹769
Itel Ace,4.1,₹769
"Redmi 8A Dual (Sea Blue, 64 GB)",4.2,"₹8,419"
"Apple iPhone 11 (Green, 64 GB)",4.7,"₹51,999"
"Lava Z61 Pro (Amber Red, 16 GB)",4,"₹5,377"
"Tecno Camon 16 (Purist Blue, 64 GB)",4.2,"₹11,499"
"OPPO A31 (Lake Green, 64 GB)",4.3,"₹12,490"
BlackZone TURBO 353,4.1,₹759
Nokia 110 DS 2020,4,"₹1,730"
"Realme 6 (Comet Blue, 64 GB)",4.4,"₹13,999"
Itel IT2163,4.1,₹799
Itel IT2163,4.1,₹799
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",4.4,"₹14,524"
"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)",4.5,"₹34,999"
Nokia 105 DS 2020,4.2,"₹1,388"
"Apple iPhone 12 (Black, 64 GB)",4.7,"₹79,900"
"Realme X3 SuperZoom (Arctic White, 256 GB)",4.4,"₹29,999"
"Realme X3 SuperZoom (Glacier Blue, 256 GB)",4.4,"₹29,999"
Micromax X817,4,"₹1,495"
"OPPO A31 (Mystery Black, 128 GB)",4.3,"₹13,800"
"OPPO A5s (Red, 32 GB)",4.3,"₹8,990"
